Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Machine failure,Power
1.0,300.4,311.8,1553.0,33.1,209.0,1.0,51404.3
0.0,301.0,311.1,1236.0,64.4,177.0,1.0,79598.40000000001
0.0,302.7,310.5,1446.0,40.9,211.0,1.0,59141.4
1.0,296.3,307.2,1319.0,68.3,24.0,1.0,90087.7
1.0,297.5,308.2,1713.0,32.2,17.0,0.0,55158.600000000006
1.0,303.4,311.4,1307.0,54.0,44.0,1.0,70578.0
1.0,303.4,311.8,1316.0,50.9,69.0,1.0,66984.4
0.0,301.9,310.4,1286.0,62.8,22.0,1.0,80760.8
1.0,303.1,311.0,1510.0,47.6,16.0,0.0,71876.0
0.0,302.7,312.3,1346.0,61.2,170.0,1.0,82375.2
0.0,300.4,309.3,1671.0,35.0,209.0,0.0,58485.0
1.0,296.1,307.1,1485.0,36.0,169.0,0.0,53460.0
1.0,299.1,308.6,2329.0,14.6,95.0,0.0,34003.4
2.0,300.9,310.7,1609.0,28.7,39.0,0.0,46178.299999999996
0.0,298.1,307.5,1493.0,43.7,153.0,0.0,65244.100000000006
0.0,298.5,308.2,1301.0,66.3,42.0,1.0,86256.3
0.0,303.3,311.3,1409.0,51.8,16.0,0.0,72986.2
0.0,304.4,313.7,1509.0,35.0,205.0,1.0,52815.0
1.0,297.5,308.1,1334.0,72.0,151.0,1.0,96048.0
0.0,301.5,310.5,1466.0,48.1,189.0,0.0,70514.6
0.0,301.9,310.9,1567.0,39.0,214.0,1.0,61113.0
2.0,295.6,306.2,1329.0,55.3,135.0,0.0,73493.7
1.0,296.8,307.5,1470.0,45.9,132.0,0.0,67473.0
0.0,298.2,307.9,1313.0,67.3,67.0,1.0,88364.9
0.0,302.3,311.8,1369.0,56.2,208.0,1.0,76937.8
1.0,300.7,311.0,1413.0,44.3,72.0,0.0,62595.899999999994
0.0,298.6,309.7,1627.0,33.4,99.0,0.0,54341.799999999996
0.0,301.9,310.5,1340.0,55.7,204.0,1.0,74638.0
0.0,299.2,310.3,1352.0,48.9,238.0,1.0,66112.8
1.0,302.4,310.3,1378.0,54.3,165.0,1.0,74825.4
0.0,297.0,307.9,1296.0,69.1,153.0,1.0,89553.59999999999
2.0,302.0,309.8,1280.0,57.3,147.0,1.0,73344.0
0.0,297.3,308.2,1396.0,52.7,212.0,1.0,73569.2
0.0,298.4,308.6,1591.0,36.7,122.0,0.0,58389.700000000004
1.0,300.6,309.7,1934.0,22.8,15.0,0.0,44095.200000000004
0.0,297.8,307.3,1327.0,61.0,186.0,1.0,80947.0
2.0,297.2,308.4,2182.0,17.3,119.0,0.0,37748.6
1.0,301.9,311.4,1465.0,39.9,153.0,0.0,58453.5
1.0,301.1,310.7,2636.0,12.2,100.0,1.0,32159.199999999997
0.0,301.8,310.3,1341.0,50.5,64.0,1.0,67720.5
0.0,299.8,309.5,1545.0,32.2,18.0,0.0,49749.00000000001
1.0,301.6,310.6,1309.0,65.8,75.0,1.0,86132.2
1.0,300.6,309.4,1367.0,63.2,45.0,1.0,86394.40000000001
0.0,298.2,307.6,1492.0,37.2,178.0,0.0,55502.4
0.0,298.6,309.8,1842.0,20.1,142.0,0.0,37024.200000000004
0.0,302.3,312.0,1398.0,43.3,171.0,0.0,60533.399999999994
0.0,298.3,308.1,1412.0,52.3,218.0,1.0,73847.59999999999
1.0,298.6,308.2,1488.0,44.0,43.0,0.0,65472.0
0.0,302.6,310.8,1486.0,36.4,160.0,0.0,54090.4
2.0,302.7,310.8,1275.0,55.0,25.0,1.0,70125.0
0.0,300.7,310.2,1807.0,24.2,77.0,0.0,43729.4
1.0,298.8,308.6,1707.0,28.1,103.0,0.0,47966.700000000004
2.0,298.8,310.1,1704.0,30.7,150.0,0.0,52312.799999999996
2.0,299.8,310.2,1573.0,33.3,168.0,0.0,52380.899999999994
0.0,302.6,312.1,1668.0,28.7,180.0,1.0,47871.6
1.0,300.4,309.8,1421.0,47.2,0.0,0.0,67071.2
2.0,296.8,308.1,1492.0,43.7,222.0,0.0,65200.4
1.0,298.0,308.7,1479.0,58.5,176.0,1.0,86521.5
0.0,296.4,307.4,2833.0,5.6,213.0,1.0,15864.8
0.0,297.4,308.7,1510.0,36.2,92.0,0.0,54662.00000000001
0.0,297.5,308.3,2564.0,12.8,127.0,1.0,32819.200000000004
1.0,303.4,311.7,1353.0,44.1,192.0,1.0,59667.3
1.0,300.1,309.2,1687.0,27.7,95.0,1.0,46729.9
0.0,295.7,306.2,2270.0,14.6,149.0,1.0,33142.0
1.0,299.6,310.1,1455.0,46.1,76.0,0.0,67075.5
1.0,298.8,310.2,1581.0,37.5,75.0,0.0,59287.5
0.0,298.1,308.6,1354.0,53.9,207.0,1.0,72980.59999999999
0.0,301.4,310.8,1610.0,34.6,187.0,0.0,55706.0
0.0,299.4,308.7,1459.0,47.6,96.0,0.0,69448.40000000001
0.0,302.2,310.6,1346.0,47.5,109.0,1.0,63935.0
0.0,299.6,309.5,1570.0,35.5,189.0,1.0,55735.0
0.0,302.6,310.9,1331.0,52.0,154.0,1.0,69212.0
1.0,297.8,307.5,1405.0,46.9,113.0,0.0,65894.5
1.0,302.4,310.1,1379.0,48.9,107.0,1.0,67433.09999999999
1.0,302.1,310.0,1531.0,38.0,161.0,0.0,58178.0
0.0,303.7,312.3,1922.0,23.1,193.0,0.0,44398.200000000004
1.0,301.8,309.8,1546.0,39.8,121.0,0.0,61530.799999999996
0.0,297.3,308.5,1384.0,39.6,144.0,0.0,54806.4
0.0,302.0,310.1,1361.0,45.4,174.0,1.0,61789.4
0.0,303.2,311.4,1351.0,53.8,8.0,1.0,72683.8
0.0,302.4,310.2,1331.0,45.5,53.0,1.0,60560.5
0.0,298.5,308.8,1670.0,29.6,13.0,0.0,49432.0
1.0,299.0,310.3,1303.0,68.6,111.0,1.0,89385.79999999999
0.0,304.1,313.2,1452.0,48.0,126.0,0.0,69696.0
0.0,297.4,308.1,1749.0,25.9,8.0,0.0,45299.1
0.0,297.4,308.4,1392.0,49.7,174.0,0.0,69182.40000000001
1.0,301.1,311.2,1384.0,49.4,48.0,0.0,68369.59999999999
0.0,300.1,309.6,1321.0,46.9,75.0,0.0,61954.9
0.0,300.3,309.2,1650.0,35.2,196.0,0.0,58080.00000000001
0.0,301.6,310.9,1492.0,45.2,155.0,0.0,67438.40000000001
0.0,298.9,309.8,1287.0,61.9,216.0,1.0,79665.3
1.0,298.1,308.9,1323.0,51.7,88.0,0.0,68399.1
1.0,301.6,310.8,1548.0,34.2,143.0,0.0,52941.600000000006
0.0,301.4,310.5,1476.0,39.2,206.0,0.0,57859.200000000004
0.0,300.3,311.1,1480.0,46.6,185.0,0.0,68968.0
1.0,300.7,311.7,2097.0,18.9,232.0,1.0,39633.299999999996
0.0,296.3,307.4,1465.0,47.1,215.0,0.0,69001.5
2.0,301.7,311.2,1639.0,30.0,161.0,0.0,49170.0
0.0,298.3,308.1,1412.0,52.3,218.0,1.0,73847.59999999999
0.0,301.6,310.6,1834.0,23.5,146.0,0.0,43099.0
1.0,298.9,308.6,1425.0,49.6,35.0,0.0,70680.0
0.0,302.4,310.2,1331.0,45.5,53.0,1.0,60560.5
2.0,301.0,310.0,1212.0,67.9,30.0,0.0,82294.8
0.0,300.0,311.4,1634.0,31.9,0.0,0.0,52124.6
0.0,302.8,310.9,1312.0,52.2,40.0,1.0,68486.40000000001
0.0,301.4,310.8,1285.0,62.6,183.0,1.0,80441.0
0.0,302.3,310.1,1321.0,52.7,134.0,1.0,69616.7
1.0,300.7,311.0,1706.0,25.0,153.0,0.0,42650.0
2.0,302.6,311.5,1629.0,34.4,228.0,1.0,56037.6
1.0,301.3,310.0,1593.0,30.8,210.0,0.0,49064.4
1.0,299.6,309.2,1867.0,23.4,225.0,1.0,43687.799999999996
1.0,298.9,309.9,1449.0,44.1,112.0,0.0,63900.9
1.0,302.0,311.2,1418.0,49.5,17.0,0.0,70191.0
2.0,297.9,307.7,1464.0,43.2,97.0,0.0,63244.8
1.0,300.7,311.7,2097.0,18.9,232.0,1.0,39633.299999999996
0.0,303.5,312.5,1457.0,46.4,168.0,0.0,67604.8
0.0,302.3,311.8,1369.0,56.2,208.0,1.0,76937.8
1.0,300.6,311.6,1473.0,31.5,69.0,0.0,46399.5
0.0,297.8,309.0,1340.0,56.9,6.0,0.0,76246.0
0.0,304.4,313.7,1509.0,35.0,205.0,1.0,52815.0
0.0,299.0,310.2,1377.0,62.5,92.0,1.0,86062.5
0.0,300.8,312.4,1465.0,59.1,91.0,1.0,86581.5
1.0,301.6,310.6,1309.0,65.8,75.0,1.0,86132.2
1.0,300.7,309.6,1996.0,19.8,203.0,1.0,39520.8
0.0,301.9,310.9,1616.0,34.5,46.0,0.0,55752.0
0.0,302.3,310.8,1377.0,47.3,22.0,1.0,65132.1
1.0,299.7,309.3,1399.0,41.9,221.0,1.0,58618.1
0.0,300.9,311.3,1613.0,32.7,170.0,0.0,52745.100000000006
0.0,297.6,308.4,1517.0,34.2,66.0,0.0,51881.4
1.0,302.1,310.8,1409.0,41.3,39.0,0.0,58191.7
1.0,298.7,310.1,1402.0,69.7,64.0,1.0,97719.40000000001
0.0,300.4,311.8,2261.0,14.9,5.0,0.0,33688.9
0.0,300.8,311.4,1322.0,67.2,18.0,1.0,88838.40000000001
0.0,297.1,308.2,1399.0,42.6,194.0,0.0,59597.4
0.0,299.2,308.4,1445.0,43.5,224.0,0.0,62857.5
0.0,298.3,308.6,1447.0,38.1,146.0,0.0,55130.700000000004
0.0,301.9,311.0,2691.0,12.1,31.0,1.0,32561.1
1.0,299.7,309.3,1399.0,41.9,221.0,1.0,58618.1
1.0,299.4,309.1,1352.0,44.7,172.0,0.0,60434.4
0.0,301.0,310.9,1296.0,54.9,69.0,0.0,71150.4
1.0,303.4,311.8,1341.0,47.0,210.0,1.0,63027.0
0.0,303.4,311.9,1298.0,63.9,59.0,1.0,82942.2
1.0,301.2,310.3,1379.0,43.2,56.0,0.0,59572.8
2.0,297.4,308.2,1359.0,46.9,199.0,0.0,63737.1
0.0,302.0,310.8,1615.0,29.0,235.0,1.0,46835.0
0.0,300.7,311.9,1335.0,57.1,194.0,1.0,76228.5
0.0,299.1,308.2,1409.0,46.4,12.0,0.0,65377.6
2.0,298.7,310.1,1435.0,45.6,37.0,0.0,65436.0
0.0,302.6,310.4,1359.0,57.2,67.0,1.0,77734.8
0.0,301.9,310.4,1286.0,62.8,22.0,1.0,80760.8
0.0,303.4,311.7,1295.0,51.3,51.0,1.0,66433.5
1.0,300.9,310.0,1416.0,46.6,201.0,0.0,65985.6
0.0,297.9,309.8,1336.0,71.6,31.0,1.0,95657.59999999999
1.0,300.1,309.2,1454.0,44.4,19.0,0.0,64557.6
0.0,299.1,308.6,1611.0,31.4,161.0,0.0,50585.399999999994
1.0,302.3,310.9,1762.0,24.5,73.0,0.0,43169.0
0.0,299.9,309.6,1280.0,59.3,163.0,0.0,75904.0
1.0,298.7,310.1,1402.0,69.7,64.0,1.0,97719.40000000001
1.0,301.7,309.8,1284.0,68.2,111.0,1.0,87568.8
1.0,298.1,308.9,1804.0,25.1,118.0,0.0,45280.4
0.0,303.8,312.9,1589.0,37.2,203.0,0.0,59110.8
2.0,300.2,309.3,1506.0,35.6,63.0,0.0,53613.6
1.0,300.6,309.8,1447.0,42.9,12.0,0.0,62076.299999999996
0.0,302.3,310.8,1377.0,47.3,22.0,1.0,65132.1
1.0,304.0,313.3,1844.0,27.1,88.0,0.0,49972.4
1.0,302.1,310.1,1379.0,48.2,166.0,1.0,66467.8
0.0,297.1,308.5,1323.0,44.4,207.0,1.0,58741.2
0.0,295.7,306.2,2270.0,14.6,149.0,1.0,33142.0
2.0,302.5,310.9,1356.0,55.5,101.0,1.0,75258.0
0.0,301.6,310.5,1809.0,25.5,40.0,0.0,46129.5
0.0,303.5,313.1,1897.0,23.6,75.0,0.0,44769.200000000004
0.0,300.6,310.3,1648.0,30.5,217.0,1.0,50264.0
0.0,297.5,308.3,2564.0,12.8,127.0,1.0,32819.200000000004
0.0,299.7,309.6,1321.0,53.4,166.0,0.0,70541.4
0.0,297.2,307.9,1326.0,75.4,172.0,1.0,99980.40000000001
0.0,301.9,310.4,1370.0,51.7,153.0,1.0,70829.0
0.0,297.3,309.0,1548.0,37.4,171.0,0.0,57895.2
0.0,302.6,312.1,1499.0,35.0,215.0,1.0,52465.0
1.0,299.3,310.9,1826.0,25.1,2.0,0.0,45832.600000000006
0.0,297.4,308.7,2874.0,4.2,118.0,1.0,12070.800000000001
0.0,299.4,308.5,1845.0,22.9,76.0,0.0,42250.5
0.0,301.0,310.5,1379.0,57.3,204.0,1.0,79016.7
0.0,297.9,309.8,1336.0,71.6,31.0,1.0,95657.59999999999
0.0,303.2,311.4,1351.0,53.8,8.0,1.0,72683.8
0.0,299.7,309.3,1420.0,44.1,60.0,0.0,62622.0
1.0,303.2,311.5,1336.0,58.2,2.0,1.0,77755.2
0.0,301.9,310.9,1799.0,24.2,54.0,0.0,43535.799999999996
0.0,297.2,308.1,1431.0,49.7,210.0,0.0,71120.7
0.0,300.1,310.5,1492.0,50.9,111.0,0.0,75942.8
2.0,298.0,308.8,1411.0,53.8,73.0,0.0,75911.8
2.0,297.4,308.2,1585.0,46.2,37.0,0.0,73227.0
0.0,301.7,309.5,1298.0,65.5,229.0,1.0,85019.0
0.0,302.7,312.2,1369.0,51.8,174.0,0.0,70914.2
1.0,300.6,309.4,1367.0,63.2,45.0,1.0,86394.40000000001
0.0,302.7,310.5,1351.0,41.8,10.0,1.0,56471.799999999996
0.0,297.3,308.4,1417.0,47.8,31.0,0.0,67732.59999999999
0.0,302.6,312.1,1288.0,68.5,0.0,1.0,88228.0
0.0,298.6,309.8,2271.0,16.2,218.0,1.0,36790.2
1.0,301.8,310.3,1465.0,46.5,60.0,0.0,68122.5
0.0,303.5,311.9,1344.0,49.3,93.0,1.0,66259.2
0.0,301.3,310.4,1414.0,51.4,199.0,0.0,72679.59999999999
1.0,297.7,308.2,1720.0,25.6,174.0,0.0,44032.0
1.0,297.3,308.3,1459.0,59.6,207.0,1.0,86956.40000000001
0.0,297.0,307.8,1385.0,56.4,202.0,1.0,78114.0
0.0,302.7,310.5,1263.0,67.8,197.0,1.0,85631.4
0.0,301.3,310.7,1761.0,24.3,174.0,0.0,42792.3
0.0,298.0,308.3,1362.0,56.8,216.0,1.0,77361.59999999999
0.0,302.6,312.1,1668.0,28.7,180.0,1.0,47871.6
0.0,303.0,311.3,1466.0,43.0,210.0,0.0,63038.0
0.0,299.2,308.5,1378.0,50.4,220.0,1.0,69451.2
0.0,299.4,310.8,1376.0,53.9,215.0,1.0,74166.4
0.0,301.4,310.4,1543.0,40.9,190.0,0.0,63108.7
0.0,303.3,311.8,1315.0,62.0,42.0,1.0,81530.0
0.0,302.0,310.8,1615.0,29.0,235.0,1.0,46835.0
1.0,296.8,307.4,1455.0,49.9,102.0,0.0,72604.5
0.0,298.7,309.9,1446.0,43.3,46.0,0.0,62611.799999999996
1.0,300.1,310.2,1429.0,42.0,206.0,0.0,60018.0
0.0,302.4,310.2,1346.0,62.4,106.0,1.0,83990.4
0.0,302.2,311.1,1351.0,48.6,110.0,0.0,65658.6
2.0,296.9,307.8,1549.0,35.8,206.0,1.0,55454.2
0.0,298.0,308.7,1619.0,40.1,45.0,0.0,64921.9
0.0,297.2,308.6,1774.0,23.0,30.0,0.0,40802.0
0.0,301.6,310.9,1632.0,31.6,189.0,0.0,51571.200000000004
1.0,302.4,310.3,1375.0,52.5,161.0,1.0,72187.5
0.0,301.5,310.6,1998.0,20.2,210.0,0.0,40359.6
0.0,297.5,308.3,2564.0,12.8,127.0,1.0,32819.200000000004
0.0,298.2,308.6,1433.0,39.5,7.0,0.0,56603.5
1.0,300.6,309.8,1659.0,28.9,127.0,0.0,47945.1
0.0,302.3,310.1,1353.0,50.9,36.0,1.0,68867.7
0.0,297.2,308.7,1509.0,39.3,66.0,0.0,59303.7
0.0,296.9,308.3,1555.0,38.2,175.0,0.0,59401.00000000001
0.0,298.0,308.3,1405.0,56.2,218.0,1.0,78961.0
0.0,303.1,312.8,1465.0,44.1,109.0,0.0,64606.5
0.0,300.2,309.1,1479.0,47.0,22.0,0.0,69513.0
0.0,301.4,310.4,1737.0,31.9,96.0,0.0,55410.299999999996
0.0,302.6,310.9,1331.0,52.0,154.0,1.0,69212.0
0.0,300.1,309.7,2151.0,17.5,173.0,0.0,37642.5
2.0,298.9,310.5,1429.0,39.9,19.0,0.0,57017.1
2.0,296.9,307.8,1549.0,35.8,206.0,1.0,55454.2
1.0,302.9,311.2,1330.0,53.7,200.0,1.0,71421.0
0.0,300.3,311.7,1333.0,55.2,18.0,0.0,73581.6
2.0,299.4,309.3,1743.0,28.2,0.0,0.0,49152.6
1.0,300.3,311.2,1381.0,65.2,136.0,1.0,90041.2
0.0,295.6,306.1,1372.0,55.6,215.0,1.0,76283.2
1.0,298.7,310.1,1402.0,69.7,64.0,1.0,97719.40000000001
0.0,298.3,308.3,1444.0,43.8,176.0,0.0,63247.2
2.0,302.6,310.3,1721.0,27.4,79.0,0.0,47155.399999999994
1.0,302.6,311.0,1591.0,33.9,119.0,0.0,53934.899999999994
0.0,300.7,311.1,2478.0,13.4,170.0,1.0,33205.200000000004
0.0,299.2,308.5,1867.0,27.0,138.0,0.0,50409.0
0.0,302.0,309.8,1701.0,27.2,4.0,0.0,46267.2
1.0,301.4,310.7,1368.0,63.7,92.0,1.0,87141.6
1.0,302.0,310.4,1212.0,55.6,79.0,1.0,67387.2
1.0,301.8,310.0,1781.0,23.9,198.0,0.0,42565.899999999994
0.0,299.0,309.9,1373.0,55.7,201.0,1.0,76476.1
0.0,298.8,309.8,1461.0,39.4,141.0,0.0,57563.4
0.0,298.0,308.3,1405.0,56.2,218.0,1.0,78961.0
0.0,302.1,310.7,1359.0,49.3,41.0,1.0,66998.7
1.0,299.6,310.9,1630.0,29.8,206.0,0.0,48574.0
1.0,299.6,309.2,1867.0,23.4,225.0,1.0,43687.799999999996
0.0,298.2,307.8,1528.0,31.1,194.0,0.0,47520.8
0.0,303.5,312.0,1366.0,54.5,30.0,1.0,74447.0
0.0,301.1,310.9,1282.0,67.9,10.0,1.0,87047.8
0.0,300.0,311.5,1666.0,32.0,128.0,0.0,53312.0
2.0,304.0,313.1,1388.0,53.2,91.0,0.0,73841.6
2.0,301.6,310.5,1602.0,32.3,2.0,1.0,51744.6
1.0,300.8,311.4,1521.0,39.9,15.0,0.0,60687.9
0.0,301.7,310.2,1331.0,61.2,47.0,1.0,81457.2
2.0,302.6,311.5,1629.0,34.4,228.0,1.0,56037.6
0.0,298.8,309.8,1485.0,42.4,74.0,0.0,62964.0
1.0,298.7,310.1,1402.0,69.7,64.0,1.0,97719.40000000001
0.0,303.8,313.1,1256.0,58.7,213.0,1.0,73727.2
0.0,303.2,311.2,1363.0,46.7,29.0,1.0,63652.100000000006
1.0,295.8,306.3,1235.0,76.2,89.0,1.0,94107.0
0.0,302.1,310.7,1359.0,49.3,41.0,1.0,66998.7
0.0,297.0,307.9,1479.0,39.2,151.0,0.0,57976.8
0.0,302.2,311.5,1489.0,38.3,35.0,0.0,57028.7
0.0,299.7,309.3,1546.0,37.2,4.0,0.0,57511.200000000004
1.0,300.2,311.6,1608.0,35.0,212.0,0.0,56280.0
0.0,300.7,310.2,1696.0,27.5,73.0,0.0,46640.0
0.0,298.0,308.4,1432.0,46.2,11.0,0.0,66158.40000000001
0.0,302.3,310.7,1499.0,37.8,137.0,0.0,56662.2
2.0,302.8,312.4,1411.0,53.8,246.0,1.0,75911.8
0.0,298.8,310.2,1814.0,26.8,204.0,0.0,48615.200000000004
1.0,298.9,310.2,1603.0,36.1,126.0,0.0,57868.3
1.0,301.4,310.9,1489.0,38.9,179.0,0.0,57922.1
1.0,297.8,307.8,1543.0,43.7,8.0,0.0,67429.1
0.0,301.8,311.0,1771.0,27.2,162.0,0.0,48171.2
0.0,299.6,310.8,1393.0,49.9,78.0,0.0,69510.7
0.0,301.7,310.6,1471.0,43.8,80.0,0.0,64429.799999999996
1.0,302.0,311.4,1587.0,35.9,30.0,0.0,56973.299999999996
1.0,300.4,311.8,1553.0,33.1,209.0,1.0,51404.3
2.0,299.9,310.1,1447.0,51.4,185.0,0.0,74375.8
1.0,298.8,309.0,1661.0,29.5,162.0,0.0,48999.5
0.0,297.6,308.4,1407.0,55.2,86.0,0.0,77666.40000000001
1.0,297.6,308.3,1567.0,34.6,71.0,0.0,54218.200000000004
0.0,302.4,310.3,1374.0,51.2,163.0,1.0,70348.8
0.0,302.6,310.4,1365.0,66.8,80.0,1.0,91182.0
0.0,300.2,311.4,1483.0,44.4,141.0,0.0,65845.2
1.0,299.6,309.2,1651.0,30.8,92.0,0.0,50850.8
0.0,302.0,310.4,1357.0,58.0,108.0,1.0,78706.0
1.0,302.4,310.1,1379.0,48.9,107.0,1.0,67433.09999999999
0.0,303.7,313.1,1496.0,47.4,48.0,0.0,70910.4
0.0,302.6,310.4,1365.0,66.8,80.0,1.0,91182.0
0.0,298.2,309.4,1447.0,47.1,185.0,0.0,68153.7
1.0,303.0,312.2,1257.0,71.3,122.0,1.0,89624.09999999999
0.0,302.1,310.7,1359.0,49.3,41.0,1.0,66998.7
0.0,300.5,309.6,1390.0,48.4,194.0,0.0,67276.0
0.0,298.9,308.6,1771.0,24.1,213.0,0.0,42681.100000000006
0.0,300.2,309.8,1827.0,23.0,6.0,0.0,42021.0
2.0,302.6,311.5,1629.0,34.4,228.0,1.0,56037.6
2.0,300.5,309.9,1397.0,45.9,210.0,1.0,64122.299999999996
0.0,298.8,308.7,1445.0,48.5,70.0,0.0,70082.5
0.0,297.2,308.5,1471.0,41.7,41.0,0.0,61340.700000000004
0.0,301.9,309.7,1595.0,31.4,133.0,0.0,50083.0
0.0,302.2,311.7,1471.0,45.6,140.0,0.0,67077.6
2.0,301.6,311.2,1395.0,46.8,95.0,0.0,65285.99999999999
1.0,301.0,311.0,1508.0,46.9,113.0,0.0,70725.2
